customer_id,customer_number,first_name,last_name,middle_name,date_of_birth,age,gender,ssn_last4,phone_primary,phone_secondary,email,address_street,address_city,address_state,address_zip,emergency_contact_name,emergency_contact_relationship,emergency_contact_phone,account_type,credit_score,annual_income,employment_status,employer,account_status,opening_date,last_activity_date,balance_checking,balance_savings,balance_credit,loan_balance,overdraft_protection,online_banking,mobile_banking,debit_card,credit_card,investment_account,insurance_products,financial_advisor,branch_preference,preferred_language,fraud_alerts,account_frozen,last_credit_review,risk_level
CUST001,BNK001234567,John,Smith,Robert,1985-03-15,39,Male,7842,555-1001,555-1002,john.smith@email.com,"123 Main Street","New York",NY,10001,Mary Smith,Wife,555-1003,Personal,750,85000,Employed,ABC Corporation,Active,2020-01-15,2024-01-15,12500.50,45000.75,2500.00,0.00,Yes,Yes,Yes,Yes,Yes,Yes,No,FA001,Downtown Branch,English,No,No,2024-01-10,Low
CUST002,BNK002345678,Sarah,Johnson,Marie,1990-07-22,33,Female,3456,555-1004,555-1005,sarah.johnson@email.com,"456 Oak Avenue","Los Angeles",CA,90210,Robert Johnson,Husband,555-1006,Business,720,120000,Self-Employed,Johnson Consulting,Active,2018-06-20,2024-01-14,35000.25,125000.00,15000.00,75000.00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,FA002,Westside Branch,English,No,No,2024-01-05,Medium
CUST003,BNK003456789,Michael,Davis,Anthony,1982-11-08,41,Male,9876,555-1007,,michael.davis@email.com,"789 Pine Street","Chicago",IL,60601,Linda Davis,Wife,555-1008,Personal,680,65000,Employed,XYZ Company,Active,2019-03-10,2024-01-13,8500.75,25000.50,5000.00,25000.00,Yes,Yes,Yes,Yes,No,No,No,FA003,North Branch,English,Yes,No,2024-01-08,Medium
CUST004,BNK004567890,Emily,Brown,Grace,1995-05-30,28,Female,5432,555-1009,555-1010,emily.brown@email.com,"321 Elm Drive","Houston",TX,77001,David Brown,Father,555-1011,Personal,800,95000,Employed,Tech Solutions Inc,Active,2021-08-25,2024-01-15,22000.00,75000.25,8000.00,0.00,Yes,Yes,Yes,Yes,Yes,No,No,FA001,South Branch,English,No,No,2024-01-12,Low
CUST005,BNK005678901,James,Wilson,Robert,1978-09-12,45,Male,8765,555-1012,555-1013,james.wilson@email.com,"654 Cedar Lane","Phoenix",AZ,85001,Patricia Wilson,Wife,555-1014,Business,650,150000,Self-Employed,Wilson Enterprises,Active,2017-08-15,2024-01-14,75000.50,200000.00,25000.00,150000.00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,FA002,Central Branch,English,No,No,2024-01-06,Medium
CUST006,BNK006789012,Jennifer,Taylor,Lynn,1988-12-03,35,Female,2468,555-1015,,jennifer.taylor@email.com,"987 Birch Street","Philadelphia",PA,19101,Mark Taylor,Husband,555-1016,Personal,780,78000,Employed,Healthcare Systems,Active,2020-11-18,2024-01-15,15000.25,45000.75,12000.00,35000.00,Yes,Yes,Yes,Yes,No,Yes,No,FA003,East Branch,English,No,No,2024-01-09,Low
CUST007,BNK007890123,Robert,Anderson,William,1980-04-25,43,Male,1357,555-1017,555-1018,robert.anderson@email.com,"147 Spruce Avenue","San Antonio",TX,78201,Thomas Anderson,Brother,555-1019,Personal,600,55000,Employed,Retail Corp,Active,2019-05-12,2024-01-13,5000.75,15000.50,8000.00,45000.00,No,Yes,Yes,Yes,No,No,No,FA001,West Branch,English,Yes,No,2024-01-07,High
CUST008,BNK008901234,Lisa,Rodriguez,Marie,1992-08-18,31,Female,9753,555-1020,555-1021,lisa.rodriguez@email.com,"258 Willow Drive","San Diego",CA,92101,Carlos Rodriguez,Father,555-1022,Personal,820,88000,Employed,Marketing Agency,Active,2021-06-22,2024-01-15,28000.00,65000.25,10000.00,20000.00,Yes,Yes,Yes,Yes,Yes,No,No,FA002,Coastal Branch,English,No,No,2024-01-11,Low
CUST009,BNK009012345,Christopher,Lee,David,1993-01-14,31,Male,4682,555-1023,,christopher.lee@email.com,"369 Ash Street","Dallas",TX,75201,Amanda Lee,Wife,555-1024,Business,700,110000,Self-Employed,Lee Consulting,Active,2020-09-20,2024-01-14,45000.75,120000.50,18000.00,80000.00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,FA003,North Branch,English,No,No,2024-01-08,Medium
CUST010,BNK010123456,Amanda,Garcia,Elena,1987-10-07,36,Female,7531,555-1025,555-1026,amanda.garcia@email.com,"741 Poplar Lane","San Jose",CA,95101,Maria Garcia,Mother,555-1027,Personal,760,92000,Employed,Software Company,Active,2019-12-16,2024-01-15,32000.25,85000.75,15000.00,30000.00,Yes,Yes,Yes,Yes,Yes,Yes,No,FA001,Tech Branch,English,No,No,2024-01-10,Low
