employee_id,employee_number,first_name,last_name,middle_name,date_of_birth,age,gender,ssn_last4,phone_primary,phone_secondary,email,address_street,address_city,address_state,address_zip,hire_date,position_title,department,manager_id,branch_id,salary,commission_rate,performance_rating,employment_status,education_level,licenses_certifications,training_completed,security_clearance,background_check_date,drug_test_date,last_review_date,next_review_date,vacation_days_used,vacation_days_remaining,sick_days_used,overtime_hours,employee_benefits,emergency_contact_name,emergency_contact_relationship,emergency_contact_phone,notes
EMP001,BNK001,John,Manager,Robert,1980-03-15,43,Male,7842,555-3001,555-3002,john.manager@bank.com,"123 Bank Street","New York",NY,10001,2015-01-15,Branch Manager,Operations,,BR001,75000,0.05,4.5,Active,Bachelor's Degree,"Series 6|Series 63",Yes,Level 2,2015-01-10,2015-01-12,2023-12-15,2024-06-15,15,10,3,0,Full Benefits,Mary Manager,Wife,555-3003,Experienced branch manager
EMP002,BNK002,Sarah,Advisor,Marie,1985-07-22,38,Female,3456,555-3004,555-3005,sarah.advisor@bank.com,"456 Finance Ave","Los Angeles",CA,90210,2018-06-20,Financial Advisor,Wealth Management,EMP001,BR002,65000,0.08,4.2,Active,Master's Degree,"Series 7|Series 66|CFP",Yes,Level 2,2018-06-15,2018-06-18,2023-11-20,2024-05-20,12,13,2,0,Full Benefits,Robert Advisor,Husband,555-3006,Certified financial planner
EMP003,BNK003,Michael,Teller,Anthony,1990-11-08,33,Male,9876,555-3007,,michael.teller@bank.com,"789 Cash Lane","Chicago",IL,60601,2020-03-10,Teller,Customer Service,EMP001,BR003,45000,0.02,3.8,Active,Associate's Degree,"Banking Certificate",Yes,Level 1,2020-03-05,2020-03-08,2023-10-10,2024-04-10,8,17,1,5,Full Benefits,Linda Teller,Wife,555-3008,Reliable teller with good customer service
EMP004,BNK004,Emily,Loan Officer,Grace,1988-05-30,35,Female,5432,555-3009,555-3010,emily.loan@bank.com,"321 Credit Road","Houston",TX,77001,2019-08-25,Loan Officer,Lending,EMP001,BR004,60000,0.06,4.0,Active,Bachelor's Degree,"NMLS License",Yes,Level 2,2019-08-20,2019-08-23,2023-09-25,2024-03-25,10,15,2,0,Full Benefits,David Loan,Father,555-3011,Experienced loan officer
EMP005,BNK005,James,Accountant,Robert,1982-09-12,41,Male,8765,555-3012,555-3013,james.accountant@bank.com,"654 Ledger Way","Phoenix",AZ,85001,2017-08-15,Accountant,Finance,EMP001,BR005,70000,0.03,4.3,Active,Bachelor's Degree,"CPA|CFA",Yes,Level 2,2017-08-10,2017-08-13,2023-08-15,2024-02-15,14,11,1,0,Full Benefits,Patricia Accountant,Wife,555-3014,Certified public accountant
EMP006,BNK006,Jennifer,Compliance Officer,Lynn,1987-12-03,36,Female,2468,555-3015,,jennifer.compliance@bank.com,"987 Regulation Blvd","Philadelphia",PA,19101,2020-11-18,Compliance Officer,Compliance,EMP001,BR006,75000,0.02,4.1,Active,Master's Degree,"CRCM|CAMS",Yes,Level 3,2020-11-15,2020-11-18,2023-11-18,2024-05-18,11,14,2,0,Full Benefits,Mark Compliance,Husband,555-3016,Compliance specialist
EMP007,BNK007,Robert,Security Guard,William,1985-04-25,38,Male,1357,555-3017,555-3018,robert.security@bank.com,"147 Safety Street","San Antonio",TX,78201,2019-05-12,Security Guard,Security,EMP001,BR007,40000,0.00,3.9,Active,High School,"Security License",Yes,Level 1,2019-05-10,2019-05-12,2023-05-12,2024-11-12,9,16,1,8,Basic Benefits,Thomas Security,Brother,555-3019,Reliable security guard
EMP008,BNK008,Lisa,Investment Advisor,Marie,1992-08-18,31,Female,9753,555-3020,555-3021,lisa.investment@bank.com,"258 Portfolio Place","San Diego",CA,92101,2021-06-22,Investment Advisor,Investment,EMP002,BR008,80000,0.10,4.4,Active,Master's Degree,"Series 7|Series 66|CFA",Yes,Level 2,2021-06-20,2021-06-22,2023-06-22,2024-12-22,13,12,1,0,Full Benefits,Carlos Investment,Father,555-3022,Chartered financial analyst
EMP009,BNK009,Christopher,IT Specialist,David,1989-01-14,35,Male,4682,555-3023,,christopher.it@bank.com,"369 Tech Drive","Dallas",TX,75201,2020-09-20,IT Specialist,Technology,EMP001,BR009,65000,0.02,4.0,Active,Bachelor's Degree,"CISSP|CompTIA",Yes,Level 2,2020-09-18,2020-09-20,2023-09-20,2024-03-20,10,15,2,0,Full Benefits,Amanda IT,Wife,555-3024,Information security specialist
EMP010,BNK010,Amanda,Customer Service Rep,Elena,1990-10-07,33,Female,7531,555-3025,555-3026,amanda.service@bank.com,"741 Service Road","San Jose",CA,95101,2019-12-16,Customer Service Representative,Customer Service,EMP001,BR010,42000,0.02,3.7,Active,Associate's Degree,"Customer Service Certificate",Yes,Level 1,2019-12-15,2019-12-16,2023-12-16,2024-06-16,7,18,3,2,Full Benefits,Maria Service,Mother,555-3027,Excellent customer service skills
