transaction_id,account_id,transaction_date,transaction_time,transaction_type,transaction_category,description,amount,balance_after,merchant_name,merchant_category,location_city,location_state,transaction_method,card_number,reference_number,status,fraud_flag,dispute_status,atm_location,branch_id,teller_id,approval_code,foreign_currency,exchange_rate,fee_amount,recurring_transaction,transaction_source,notes
TXN001,ACC001,2024-01-15,09:15:30,Debit,Purchase,Grocery Store Purchase,-125.50,12375.00,Safeway,Grocery,New York,NY,Debit Card,****-****-****-1234,TXN001234,Completed,No,None,,BR001,TL001,APP001,USD,1.00,0.00,No,Mobile App,Weekly grocery shopping
TXN002,ACC001,2024-01-15,14:22:15,Credit,Deposit,Direct Deposit,2500.00,14875.00,ABC Corporation,Payroll,New York,NY,ACH,,TXN001235,Completed,No,None,,BR001,,,USD,1.00,0.00,Yes,Direct Deposit,Bi-weekly salary deposit
TXN003,ACC002,2024-01-15,10:30:45,Credit,Transfer,Transfer from Checking,1000.00,46000.75,Internal Transfer,Transfer,New York,NY,Online Banking,,TXN001236,Completed,No,None,,BR001,,,USD,1.00,0.00,Yes,Online Banking,Monthly savings transfer
TXN004,ACC003,2024-01-15,16:45:20,Debit,Purchase,Gas Station,-45.75,2454.25,Shell,Gas,New York,NY,Debit Card,****-****-****-5678,TXN001237,Completed,No,None,,BR001,TL002,APP002,USD,1.00,0.00,No,Card Present,Fuel purchase
TXN005,ACC004,2024-01-15,11:20:10,Debit,Purchase,Office Supplies,-350.25,34649.75,Staples,Office Supplies,Los Angeles,CA,Debit Card,****-****-****-9012,TXN001238,Completed,No,None,,BR002,TL003,APP003,USD,1.00,0.00,No,Card Present,Business office supplies
TXN006,ACC004,2024-01-15,13:15:30,Credit,Deposit,Client Payment,5000.00,39649.75,Client XYZ,Payment,Los Angeles,CA,Wire Transfer,,TXN001239,Completed,No,None,,BR002,,,USD,1.00,25.00,No,Wire Transfer,Client payment received
TXN007,ACC005,2024-01-15,09:45:15,Credit,Interest,Interest Payment,125.50,125125.50,Internal,Interest,Los Angeles,CA,Internal,,TXN001240,Completed,No,None,,BR002,,,USD,1.00,0.00,Yes,Internal,Monthly interest payment
TXN008,ACC006,2024-01-15,15:30:45,Debit,Purchase,Business Travel,-1250.00,13750.00,Delta Airlines,Travel,Los Angeles,CA,Debit Card,****-****-****-3456,TXN001241,Completed,No,None,,BR002,TL004,APP004,USD,1.00,0.00,No,Card Present,Business travel expense
TXN009,ACC007,2024-01-15,12:10:20,Debit,Purchase,Restaurant,-85.50,8415.25,McDonald's,Restaurant,Chicago,IL,Debit Card,****-****-****-7890,TXN001242,Completed,No,None,,BR003,TL005,APP005,USD,1.00,0.00,No,Card Present,Lunch purchase
TXN010,ACC007,2024-01-15,17:45:30,Credit,Deposit,ATM Deposit,500.00,8915.25,ATM Location,Deposit,Chicago,IL,ATM,****-****-****-7890,TXN001243,Completed,No,None,ATM001,BR003,,,USD,1.00,2.00,No,ATM,Cash deposit
TXN011,ACC008,2024-01-15,10:20:15,Credit,Transfer,Transfer from Checking,500.00,25500.50,Internal Transfer,Transfer,Chicago,IL,Online Banking,,TXN001244,Completed,No,None,,BR003,,,USD,1.00,0.00,Yes,Online Banking,Weekly savings transfer
TXN012,ACC009,2024-01-15,14:35:45,Debit,Purchase,Online Shopping,-125.75,4874.25,Amazon,Online Retail,Chicago,IL,Debit Card,****-****-****-1234,TXN001245,Completed,No,None,,BR003,TL006,APP006,USD,1.00,0.00,No,Card Not Present,Online purchase
TXN013,ACC010,2024-01-15,08:30:20,Debit,Payment,Loan Payment,-450.00,24550.00,Internal,Payment,Chicago,IL,ACH,,TXN001246,Completed,No,None,,BR003,,,USD,1.00,0.00,Yes,ACH,Monthly loan payment
TXN014,ACC011,2024-01-15,11:45:10,Debit,Purchase,Pharmacy,-35.25,21964.75,CVS,Pharmacy,Houston,TX,Debit Card,****-****-****-5678,TXN001247,Completed,No,None,,BR004,TL007,APP007,USD,1.00,0.00,No,Card Present,Prescription purchase
TXN015,ACC011,2024-01-15,16:20:30,Credit,Deposit,Direct Deposit,3200.00,25164.75,Tech Solutions Inc,Payroll,Houston,TX,ACH,,TXN001248,Completed,No,None,,BR004,,,USD,1.00,0.00,Yes,Direct Deposit,Bi-weekly salary
TXN016,ACC012,2024-01-15,09:15:45,Credit,Interest,Interest Payment,185.50,75185.75,Internal,Interest,Houston,TX,Internal,,TXN001249,Completed,No,None,,BR004,,,USD,1.00,0.00,Yes,Internal,Monthly interest payment
TXN017,ACC013,2024-01-15,13:40:20,Debit,Purchase,Department Store,-225.00,7775.00,Macy's,Department Store,Houston,TX,Debit Card,****-****-****-9012,TXN001250,Completed,No,None,,BR004,TL008,APP008,USD,1.00,0.00,No,Card Present,Clothing purchase
TXN018,ACC014,2024-01-15,10:30:15,Debit,Purchase,Hardware Store,-1250.75,73749.75,Home Depot,Home Improvement,Phoenix,AZ,Debit Card,****-****-****-3456,TXN001251,Completed,No,None,,BR005,TL009,APP009,USD,1.00,0.00,No,Card Present,Business supplies
TXN019,ACC014,2024-01-15,15:45:30,Credit,Deposit,Client Payment,15000.00,88749.75,Client ABC,Payment,Phoenix,AZ,Wire Transfer,,TXN001252,Completed,No,None,,BR005,,,USD,1.00,25.00,No,Wire Transfer,Client payment
TXN020,ACC015,2024-01-15,12:20:45,Credit,Interest,Interest Payment,375.00,200375.00,Internal,Interest,Phoenix,AZ,Internal,,TXN001253,Completed,No,None,,BR005,,,USD,1.00,0.00,Yes,Internal,Monthly interest payment
TXN021,ACC016,2024-01-15,14:15:20,Debit,Purchase,Business Equipment,-3500.00,21500.00,Office Max,Office Supplies,Phoenix,AZ,Debit Card,****-****-****-7890,TXN001254,Completed,No,None,,BR005,TL010,APP010,USD,1.00,0.00,No,Card Present,Business equipment
TXN022,ACC017,2024-01-15,08:45:30,Debit,Payment,Loan Payment,-2500.00,147500.00,Internal,Payment,Phoenix,AZ,ACH,,TXN001255,Completed,No,None,,BR005,,,USD,1.00,0.00,Yes,ACH,Monthly loan payment
TXN023,ACC018,2024-01-15,11:30:15,Debit,Purchase,Restaurant,-95.25,14904.50,Olive Garden,Restaurant,Philadelphia,PA,Debit Card,****-****-****-1234,TXN001256,Completed,No,None,,BR006,TL011,APP011,USD,1.00,0.00,No,Card Present,Dinner with family
TXN024,ACC018,2024-01-15,17:20:45,Credit,Deposit,Direct Deposit,2800.00,17704.50,Healthcare Systems,Payroll,Philadelphia,PA,ACH,,TXN001257,Completed,No,None,,BR006,,,USD,1.00,0.00,Yes,Direct Deposit,Bi-weekly salary
TXN025,ACC019,2024-01-15,09:45:30,Credit,Interest,Interest Payment,65.50,45111.25,Internal,Interest,Philadelphia,PA,Internal,,TXN001258,Completed,No,None,,BR006,,,USD,1.00,0.00,Yes,Internal,Monthly interest payment 
