employee_id,first_name,last_name,middle_name,position,department_id,hire_date,birth_date,gender,phone,email,address,emergency_contact_name,emergency_contact_phone,annual_salary,shift_schedule,license_number,license_expiry,certifications,specializations,education_level,years_experience,employee_status,supervisor_id,work_location,benefits_enrolled,last_performance_review,performance_rating
EMP001,Sarah,Johnson,Marie,Chief of Emergency Medicine,001,2018-03-15,1975-08-22,Female,555-0101,sarah.johnson@hospital.com,"123 Medical Dr, Healthcare City, HC 12345",John Johnson,555-0102,285000,Rotating,MD789456,2026-12-31,"ACLS BLS PALS","Emergency Medicine Trauma",MD,15,Active,,Emergency Department,Yes,2024-01-15,4.8
EMP002,Michael,Chen,David,ICU Director,002,2019-06-20,1978-11-10,Male,555-0103,michael.chen@hospital.com,"456 Oak St, Healthcare City, HC 12346",Lisa Chen,555-0104,275000,Day/Night,MD234567,2025-08-15,"ACLS BLS CCRN","Critical Care Pulmonology",MD,12,Active,,ICU,Yes,2024-02-20,4.9
EMP003,Lisa,Rodriguez,Ann,Cardiologist,003,2020-01-10,1980-04-03,Female,555-0105,lisa.rodriguez@hospital.com,"789 Pine Ave, Healthcare City, HC 12347",Carlos Rodriguez,555-0106,320000,Day,MD345678,2027-03-20,"ACLS BLS","Interventional Cardiology",MD,10,Active,,Cardiology,Yes,2024-01-10,4.7
EMP004,James,Wilson,Robert,Orthopedic Surgeon,004,2017-09-05,1973-12-18,Male,555-0107,james.wilson@hospital.com,"321 Elm St, Healthcare City, HC 12348",Mary Wilson,555-0108,310000,Day,MD456789,2025-11-30,"BLS","Orthopedic Surgery",MD,18,Active,,Orthopedics,Yes,2024-03-05,4.6
EMP005,Emily,Davis,Grace,Pediatrician,005,2021-04-12,1985-07-14,Female,555-0109,emily.davis@hospital.com,"654 Maple Dr, Healthcare City, HC 12349",Thomas Davis,555-0110,240000,Day,MD567890,2028-06-10,"PALS BLS NRP","Pediatric Medicine",MD,8,Active,,Pediatrics,Yes,2024-02-28,4.8
EMP006,Maria,Garcia,Elena,OB-GYN Specialist,006,2019-11-22,1977-03-25,Female,555-0111,maria.garcia@hospital.com,"987 Cedar Ln, Healthcare City, HC 12350",Juan Garcia,555-0112,270000,Day/Night,MD678901,2026-09-15,"BLS NRP","Obstetrics Gynecology",MD,14,Active,,OB-GYN,Yes,2024-01-25,4.6
EMP007,Robert,Brown,Allen,Oncologist,007,2018-08-30,1976-01-08,Male,555-0113,robert.brown@hospital.com,"147 Birch St, Healthcare City, HC 12351",Susan Brown,555-0114,295000,Day,MD789012,2025-12-20,"BLS","Medical Oncology",MD,16,Active,,Oncology,Yes,2024-02-10,4.5
EMP008,Jennifer,Lee,Michelle,Neurologist,008,2020-05-18,1982-10-30,Female,555-0115,jennifer.lee@hospital.com,"258 Spruce Ave, Healthcare City, HC 12352",Kevin Lee,555-0116,280000,Day,MD890123,2027-07-25,"BLS","Neurology",MD,9,Active,,Neurology,Yes,2024-03-01,4.7
EMP009,David,Kim,Andrew,Chief of Surgery,009,2016-02-14,1972-06-12,Male,555-0117,david.kim@hospital.com,"369 Willow Dr, Healthcare City, HC 12353",Jennifer Kim,555-0118,350000,Day/Night,MD901234,2025-04-30,"ACLS BLS","General Surgery",MD,20,Active,,Surgery,Yes,2024-01-20,4.4
EMP010,Susan,Taylor,Marie,Radiologist,010,2019-07-08,1979-09-20,Female,555-0119,susan.taylor@hospital.com,"741 Ash St, Healthcare City, HC 12354",Mark Taylor,555-0120,265000,Day/Night,MD012345,2026-10-15,"BLS","Diagnostic Radiology",MD,13,Active,,Radiology,Yes,2024-02-15,4.8
EMP011,Thomas,Anderson,William,Lab Director,011,2017-12-01,1974-05-16,Male,555-0121,thomas.anderson@hospital.com,"852 Poplar Ln, Healthcare City, HC 12355",Patricia Anderson,555-0122,220000,Day/Night,MD123456,2025-07-10,"BLS","Clinical Pathology",MD,17,Active,,Laboratory,Yes,2024-03-10,4.6
EMP012,Karen,White,Rose,Pharmacist,012,2020-10-25,1983-02-28,Female,555-0123,karen.white@hospital.com,"963 Cherry Ave, Healthcare City, HC 12356",Michael White,555-0124,135000,Day/Night,PharmD456789,2027-01-20,"BLS","Clinical Pharmacy",PharmD,7,Active,,Pharmacy,Yes,2024-01-30,4.9
EMP013,Mark,Thompson,James,Physical Therapist,013,2021-06-15,1984-11-05,Male,555-0125,mark.thompson@hospital.com,"159 Walnut Dr, Healthcare City, HC 12357",Sarah Thompson,555-0126,85000,Day,PT789456,2026-08-30,"BLS CPR","Physical Therapy",DPT,6,Active,,Rehabilitation,Yes,2024-02-25,4.5
EMP014,Rachel,Green,Nicole,Psychiatrist,014,2018-01-20,1976-12-03,Female,555-0127,rachel.green@hospital.com,"357 Hickory St, Healthcare City, HC 12358",Daniel Green,555-0128,250000,Day,MD234567,2025-11-15,"BLS","Psychiatry",MD,15,Active,,Psychiatry,Yes,2024-01-05,4.3
EMP015,Andrew,Miller,Scott,Dermatologist,015,2022-03-08,1987-04-18,Male,555-0129,andrew.miller@hospital.com,"486 Sycamore Ln, Healthcare City, HC 12359",Jessica Miller,555-0130,280000,Day,MD345678,2028-12-05,"BLS","Dermatology",MD,5,Active,,Dermatology,Yes,2024-02-05,4.8
EMP016,Laura,Wilson,Beth,Gastroenterologist,016,2019-08-12,1981-07-22,Female,555-0131,laura.wilson@hospital.com,"597 Dogwood Ave, Healthcare City, HC 12360",Robert Wilson,555-0132,260000,Day,MD456789,2026-05-18,"BLS","Gastroenterology",MD,11,Active,,Gastroenterology,Yes,2024-03-15,4.4
EMP017,Kevin,Davis,Ryan,Pulmonologist,017,2020-11-30,1978-01-14,Male,555-0133,kevin.davis@hospital.com,"618 Magnolia Dr, Healthcare City, HC 12361",Emily Davis,555-0134,255000,Day,MD567890,2027-02-22,"BLS","Pulmonology",MD,12,Active,,Pulmonology,Yes,2024-01-12,4.7
EMP018,Michelle,Brown,Amanda,Endocrinologist,018,2021-02-14,1985-09-08,Female,555-0135,michelle.brown@hospital.com,"729 Redwood St, Healthcare City, HC 12362",Brandon Brown,555-0136,245000,Day,MD678901,2028-04-12,"BLS","Endocrinology",MD,8,Active,,Endocrinology,Yes,2024-02-18,4.6
EMP019,Christopher,Lee,Matthew,Urologist,019,2018-12-18,1977-05-30,Male,555-0137,christopher.lee@hospital.com,"840 Sequoia Ln, Healthcare City, HC 12363",Amy Lee,555-0138,275000,Day,MD789012,2025-09-25,"BLS","Urology",MD,14,Active,,Urology,Yes,2024-03-08,4.5
EMP020,Amanda,Johnson,Lynn,Ophthalmologist,020,2020-07-22,1983-08-11,Female,555-0139,amanda.johnson@hospital.com,"951 Cypress Ave, Healthcare City, HC 12364",David Johnson,555-0140,270000,Day,MD890123,2027-11-30,"BLS","Ophthalmology",MD,9,Active,,Ophthalmology,Yes,2024-01-28,4.9
EMP021,Rebecca,Martinez,Sofia,Nurse Manager,001,2015-05-10,1980-03-17,Female,555-0141,rebecca.martinez@hospital.com,"162 Fir St, Healthcare City, HC 12365",Carlos Martinez,555-0142,95000,Day,RN123456,2025-06-15,"ACLS BLS PALS CEN","Emergency Nursing",BSN,12,Active,EMP001,Emergency Department,Yes,2024-01-15,4.7
EMP022,Daniel,White,Thomas,ICU Nurse,002,2019-02-28,1985-12-22,Male,555-0143,daniel.white@hospital.com,"273 Juniper Dr, Healthcare City, HC 12366",Rachel White,555-0144,82000,Night,RN234567,2026-03-20,"ACLS BLS CCRN","Critical Care",BSN,8,Active,EMP002,ICU,Yes,2024-02-20,4.8
EMP023,Christina,Lopez,Maria,Cardiac Nurse,003,2020-08-15,1982-01-05,Female,555-0145,christina.lopez@hospital.com,"384 Cedar St, Healthcare City, HC 12367",Miguel Lopez,555-0146,79000,Day,RN345678,2027-01-10,"ACLS BLS","Cardiovascular Nursing",BSN,7,Active,EMP003,Cardiology,Yes,2024-01-10,4.6
EMP024,Ryan,Davis,Michael,OR Nurse,009,2018-11-12,1983-07-28,Male,555-0147,ryan.davis@hospital.com,"495 Palm Ave, Healthcare City, HC 12368",Lisa Davis,555-0148,85000,Day,RN456789,2025-08-22,"ACLS BLS CNOR","Perioperative Nursing",BSN,10,Active,EMP009,Surgery,Yes,2024-01-20,4.5
EMP025,Nicole,Garcia,Elena,Pediatric Nurse,005,2021-01-25,1986-11-14,Female,555-0149,nicole.garcia@hospital.com,"506 Olive Dr, Healthcare City, HC 12369",Antonio Garcia,555-0150,76000,Day,RN567890,2027-09-18,"PALS BLS CPN","Pediatric Nursing",BSN,6,Active,EMP005,Pediatrics,Yes,2024-02-28,4.9
EMP026,Steven,Clark,James,Lab Technician,011,2019-04-08,1981-06-20,Male,555-0151,steven.clark@hospital.com,"617 Bamboo Ln, Healthcare City, HC 12370",Jennifer Clark,555-0152,52000,Day/Night,CLT789456,2026-12-15,"BLS","Clinical Laboratory",BS,9,Active,EMP011,Laboratory,Yes,2024-03-10,4.4
EMP027,Ashley,Moore,Lynn,Pharmacist,012,2020-06-30,1984-04-09,Female,555-0153,ashley.moore@hospital.com,"728 Ivy St, Healthcare City, HC 12371",Jason Moore,555-0154,128000,Day,PharmD890123,2027-05-25,"BLS","Clinical Pharmacy",PharmD,6,Active,EMP012,Pharmacy,Yes,2024-01-30,4.7
EMP028,Brian,Taylor,Robert,Radiology Tech,010,2017-09-18,1979-02-12,Male,555-0155,brian.taylor@hospital.com,"839 Rose Ave, Healthcare City, HC 12372",Karen Taylor,555-0156,65000,Day/Night,RT012345,2025-10-30,"BLS CPR","Radiologic Technology",AS,11,Active,EMP010,Radiology,Yes,2024-02-15,4.6
EMP029,Melissa,Anderson,Kate,Social Worker,014,2021-07-20,1987-08-25,Female,555-0157,melissa.anderson@hospital.com,"940 Tulip Dr, Healthcare City, HC 12373",Chris Anderson,555-0158,58000,Day,LSW123456,2026-04-15,"BLS","Medical Social Work",MSW,5,Active,EMP014,Psychiatry,Yes,2024-01-05,4.8
EMP030,Gregory,Wilson,Paul,Respiratory Therapist,017,2018-03-25,1976-10-18,Male,555-0159,gregory.wilson@hospital.com,"151 Daisy Ln, Healthcare City, HC 12374",Monica Wilson,555-0160,68000,Day/Night,RRT234567,2025-07-12,"BLS ACLS","Respiratory Therapy",AS,13,Active,EMP017,Pulmonology,Yes,2024-01-12,4.5
