faculty_id,first_name,last_name,middle_name,position,department_id,hire_date,birth_date,gender,phone,email,address,emergency_contact_name,emergency_contact_phone,annual_salary,teaching_load,education_level,specialization,tenure_status,office_location,research_active,publications_count,grants_received,last_performance_review,performance_rating,sabbatical_eligible
FAC001,Sarah,Chen,Marie,Department Head,DEPT001,2018-08-15,1975-03-22,Female,555-3001,sarah.chen@university.edu,"123 University Ave, College City, CC 12345",David Chen,555-3002,145000,6 credits,PhD,Machine Learning,Tenured,Tech-301,Yes,45,850000,2024-01-15,4.8,Yes
FAC002,Michael,Rodriguez,Antonio,Professor,DEPT002,2016-09-01,1972-11-10,Male,555-3003,michael.rodriguez@university.edu,"456 Oak St, College City, CC 12346",Elena Rodriguez,555-3004,138000,9 credits,PhD,Molecular Biology,Tenured,SciHall-205,Yes,52,920000,2024-02-20,4.9,Yes
FAC003,Lisa,Johnson,Ann,Associate Professor,DEPT003,2019-01-20,1980-04-03,Female,555-3005,lisa.johnson@university.edu,"789 Pine Ave, College City, CC 12347",Robert Johnson,555-3006,95000,12 credits,PhD,Applied Mathematics,Tenure-Track,Math-401,Yes,28,450000,2024-01-10,4.7,No
FAC004,James,Wilson,Robert,Professor,DEPT004,2015-06-10,1970-12-18,Male,555-3007,james.wilson@university.edu,"321 Elm St, College City, CC 12348",Mary Wilson,555-3008,125000,9 credits,PhD,Corporate Finance,Tenured,Bus-220,No,38,320000,2024-03-05,4.6,Yes
FAC005,Emily,Davis,Grace,Associate Professor,DEPT005,2020-08-25,1983-07-14,Female,555-3009,emily.davis@university.edu,"654 Maple Dr, College City, CC 12349",Thomas Davis,555-3010,88000,12 credits,PhD,Clinical Psychology,Tenure-Track,LA-305,Yes,22,280000,2024-02-28,4.8,No
FAC006,Maria,Garcia,Elena,Department Head,DEPT006,2017-03-15,1974-01-25,Female,555-3011,maria.garcia@university.edu,"987 Cedar Ln, College City, CC 12350",Carlos Garcia,555-3012,155000,6 credits,PhD,Mechanical Engineering,Tenured,Eng-101,Yes,48,780000,2024-01-25,4.6,Yes
FAC007,Robert,Brown,Allen,Professor,DEPT007,2018-11-30,1973-06-08,Male,555-3013,robert.brown@university.edu,"147 Birch St, College City, CC 12351",Susan Brown,555-3014,132000,9 credits,PhD,Organic Chemistry,Tenured,SciHall-305,Yes,41,650000,2024-02-10,4.5,Yes
FAC008,Jennifer,Lee,Michelle,Associate Professor,DEPT008,2021-01-18,1985-10-30,Female,555-3015,jennifer.lee@university.edu,"258 Spruce Ave, College City, CC 12352",Kevin Lee,555-3016,82000,12 credits,PhD,Modern Literature,Tenure-Track,Hum-208,No,18,120000,2024-03-01,4.7,No
FAC009,David,Kim,Andrew,Professor,DEPT009,2014-05-20,1969-06-12,Male,555-3017,david.kim@university.edu,"369 Willow Dr, College City, CC 12353",Jennifer Kim,555-3018,142000,9 credits,PhD,Quantum Physics,Tenured,Phys-450,Yes,56,890000,2024-01-20,4.4,Yes
FAC010,Susan,Taylor,Marie,Associate Professor,DEPT010,2019-07-08,1979-09-20,Female,555-3019,susan.taylor@university.edu,"741 Ash St, College City, CC 12354",Mark Taylor,555-3020,85000,12 credits,PhD,American History,Tenure-Track,Hum-315,No,25,150000,2024-02-15,4.8,No
FAC011,Thomas,Anderson,William,Professor,DEPT011,2016-12-01,1971-05-16,Male,555-3021,thomas.anderson@university.edu,"852 Poplar Ln, College City, CC 12355",Patricia Anderson,555-3022,95000,9 credits,MFA,Studio Art,Tenured,Art-160,No,32,180000,2024-03-10,4.6,Yes
FAC012,Karen,White,Rose,Associate Professor,DEPT012,2020-10-25,1983-02-28,Female,555-3023,karen.white@university.edu,"963 Cherry Ave, College City, CC 12356",Michael White,555-3024,78000,12 credits,DMA,Music Performance,Tenure-Track,Music-270,No,15,95000,2024-01-30,4.9,No
FAC013,Mark,Thompson,James,Professor,DEPT013,2017-06-15,1972-11-05,Male,555-3025,mark.thompson@university.edu,"159 Walnut Dr, College City, CC 12357",Sarah Thompson,555-3026,105000,9 credits,PhD,International Relations,Tenured,LA-430,Yes,35,420000,2024-02-25,4.5,Yes
FAC014,Rachel,Green,Nicole,Associate Professor,DEPT014,2018-01-20,1976-12-03,Female,555-3027,rachel.green@university.edu,"357 Hickory St, College City, CC 12358",Daniel Green,555-3028,92000,12 credits,PhD,Macroeconomics,Tenured,Bus-320,Yes,29,380000,2024-01-05,4.3,Yes
FAC015,Andrew,Miller,Scott,Professor,DEPT015,2019-03-08,1977-04-18,Male,555-3029,andrew.miller@university.edu,"486 Sycamore Ln, College City, CC 12359",Jessica Miller,555-3030,115000,9 credits,PhD,Clinical Nursing,Tenured,Health-240,Yes,38,520000,2024-02-05,4.8,Yes
