student_id,student_number,first_name,last_name,middle_name,date_of_birth,age,gender,ssn_last4,phone_primary,phone_secondary,email,address_street,address_city,address_state,address_zip,emergency_contact_name,emergency_contact_relationship,emergency_contact_phone,major,minor,class_level,enrollment_status,gpa,total_credits,credits_current_semester,scholarship_amount,financial_aid_status,advisor_id,registration_date,expected_graduation,academic_standing,residence_hall,meal_plan,tuition_balance,academic_probation,honors_program,student_activities,work_study,internship_status,health_insurance,disability_services,career_services_visits,library_fines
STU001,SN001234567,John,Smith,Robert,2002-03-15,22,Male,7842,555-4001,555-4002,john.smith@student.university.edu,"123 Dorm Lane","College City",CC,12345,Mary Smith,Mother,555-4003,Computer Science,Mathematics,Senior,Full-Time,3.75,105,15,15000,Need-Based,FAC001,2020-08-15,2024-05-15,Good Standing,Tech Hall,Unlimited,0.00,No,Yes,"Programming Club ACM",Yes,Completed,Yes,No,3,25.50
STU002,SN002345678,Sarah,Johnson,Marie,2003-07-22,20,Female,3456,555-4004,555-4005,sarah.johnson@student.university.edu,"456 Pine Avenue","College City",CC,12346,Robert Johnson,Father,555-4006,Biology,Chemistry,Junior,Full-Time,3.92,75,16,18000,Merit-Based,FAC002,2021-08-20,2025-05-20,Dean's List,Science Hall,Standard,1250.00,No,Yes,"Pre-Med Society Research Club",No,In Progress,Yes,No,2,0.00
STU003,SN003456789,Michael,Davis,Anthony,2001-11-08,22,Male,9876,555-4007,,michael.davis@student.university.edu,"789 Elm Street","College City",CC,12347,Linda Davis,Mother,555-4008,Engineering,Physics,Senior,Full-Time,3.45,110,12,8000,Partial Aid,FAC006,2020-08-10,2024-12-15,Good Standing,Engineering Quad,Premium,2450.75,No,No,"Robotics Club",Yes,Completed,Yes,No,4,15.00
STU004,SN004567890,Emily,Brown,Grace,2004-05-30,19,Female,5432,555-4009,555-4010,emily.brown@student.university.edu,"321 Maple Drive","College City",CC,12348,David Brown,Father,555-4011,Psychology,Sociology,Sophomore,Full-Time,3.68,45,17,12000,Need-Based,FAC005,2022-08-25,2026-05-25,Good Standing,Liberal Arts Hall,Standard,850.00,No,Yes,"Psychology Club Volunteer Center",No,Not Started,Yes,Yes,1,5.75
STU005,SN005678901,James,Wilson,Robert,2000-09-12,23,Male,8765,555-4012,555-4013,james.wilson@student.university.edu,"654 Cedar Lane","College City",CC,12349,Patricia Wilson,Mother,555-4014,Business,Economics,Senior,Full-Time,3.15,120,9,5000,Partial Aid,FAC004,2019-08-15,2024-05-15,Good Standing,Off-Campus,None,3200.50,No,No,"Business Club",Yes,Completed,No,No,8,45.25
STU006,SN006789012,Jennifer,Taylor,Lynn,2002-12-03,21,Female,2468,555-4015,,jennifer.taylor@student.university.edu,"987 Birch Street","College City",CC,12350,Mark Taylor,Father,555-4016,Art,Art History,Junior,Full-Time,3.88,80,14,20000,Merit-Based,FAC011,2021-08-18,2025-05-18,Dean's List,Art Tower,Light,625.00,No,Yes,"Art Society Gallery Committee",No,In Progress,Yes,No,1,0.00
STU007,SN007890123,Robert,Anderson,William,2001-04-25,22,Male,1357,555-4017,555-4018,robert.anderson@student.university.edu,"147 Spruce Avenue","College City",CC,12351,Thomas Anderson,Father,555-4019,History,Political Science,Senior,Full-Time,2.95,100,15,3000,Partial Aid,FAC010,2020-08-12,2024-12-15,Academic Warning,Humanities Hall,Standard,4850.25,Yes,No,"History Society",No,Not Started,Yes,No,12,85.50
STU008,SN008901234,Lisa,Rodriguez,Marie,2003-08-18,20,Female,9753,555-4020,555-4021,lisa.rodriguez@student.university.edu,"258 Willow Drive","College City",CC,12352,Carlos Rodriguez,Father,555-4022,Music,Theater,Sophomore,Full-Time,3.72,50,16,16000,Need-Based,FAC012,2022-08-22,2026-05-22,Good Standing,Fine Arts Hall,Standard,1100.00,No,Yes,"Choir Orchestra",No,Not Started,Yes,No,0,12.00
STU009,SN009012345,Christopher,Lee,David,2004-01-14,20,Male,4682,555-4023,,christopher.lee@student.university.edu,"369 Ash Street","College City",CC,12353,Amanda Lee,Mother,555-4024,Theater,English,Sophomore,Full-Time,3.55,48,18,10000,Need-Based,FAC019,2022-08-20,2026-05-20,Good Standing,Fine Arts Hall,Standard,1800.00,No,No,"Drama Club",Yes,Not Started,Yes,No,2,8.25
STU010,SN010123456,Amanda,Garcia,Elena,2002-10-07,21,Female,7531,555-4025,555-4026,amanda.garcia@student.university.edu,"741 Poplar Lane","College City",CC,12354,Maria Garcia,Mother,555-4027,Environmental Science,Chemistry,Junior,Full-Time,3.65,78,15,14000,Merit-Based,FAC020,2021-08-16,2025-05-16,Good Standing,Science Hall,Premium,950.50,No,Yes,"Environmental Club Research Group",No,In Progress,Yes,No,2,0.00
